term,freq,rank_f,doc_freq,rank_df
corrupción,2670,001,81.71,001
dinero,2078,002,78.23,003
estados_unidos,1754,003,69.67,023
empresas,1662,004,69.96,021
apoyo,1646,005,78.52,002
presupuesto,1619,006,68.21,028
política,1594,007,78.08,004
año,1477,008,71.84,013
trabajadores,1430,009,61.39,056
estados,1395,010,65.31,038
plan,1371,011,70.54,018
ciento,1347,012,67.2,033
ayudar,1339,013,77.79,005
ciudadanos,1322,014,69.96,020
salud,1285,015,59.22,066
nunca,1271,016,74.31,007
casos,1256,017,73.15,010
respeto,1231,018,71.41,014
democracia,1225,019,56.31,091
derecho,1215,020,72.71,012
pemex,1202,021,46.44,159
todas,1199,022,73.58,008
ciudad,1185,023,62.26,051
hecho,1160,024,72.86,011
debe,1143,025,70.54,019
programa,1140,026,60.23,063
reforma,1135,027,57.04,087
pueden,1115,028,71.12,015
hizo,1113,029,73.29,009
jóvenes,1112,030,50.94,120
hicieron,1107,031,70.97,016
dar,1093,032,74.31,006
quiero,1090,033,68.51,025
violencia,1077,034,54.86,097
nacional,1074,035,66.04,037
empresa,1068,036,52.98,104
pandemia,1065,037,41.8,216
pública,1054,038,70.68,017
justicia,1054,039,62.26,053
cada,1013,040,66.91,035
corresponde,1011,041,68.8,024
millones,1011,042,56.31,092
ayuda,1000,043,62.26,052
llevar_cabo,999,044,69.67,022
aunque,997,045,68.51,026
recursos,994,046,62.7,050
digo,972,047,67.05,034
cosa,967,048,67.92,029
problema,958,049,63.72,043
situación,956,050,67.49,032
verdad,955,051,68.36,027
bienestar,942,052,60.52,059
nuevo,940,053,67.49,031
proceso,928,054,66.18,036
vez,928,055,67.63,030
pesos,918,056,60.96,058
países,916,057,58.93,068
seguridad,899,058,60.38,060
compromiso,891,059,63.57,045
medios,890,060,54.57,100
trata,883,061,64.73,041
mal,881,062,63.13,047
viendo,876,063,61.68,055
acerca,863,064,64.44,042
unidos,855,065,44.85,177
agua,851,066,34.69,339
vida,849,067,63.13,048
pueda,846,068,63.72,044
atender,844,069,61.68,054
transformación,838,070,53.12,103
repito,828,071,64.73,040
periodo_neoliberal,825,072,57.04,086
millones_pesos,820,073,57.91,076
hablar,818,074,63.43,046
entregar,814,075,57.62,081
investigación,813,076,52.69,107
ley,813,077,51.38,115
da,812,078,64.73,039
historia,790,079,54.86,096
viene,786,080,57.47,082
cambio,781,081,57.62,079
adultos_mayores,779,082,40.93,230
afortunadamente,768,083,58.35,074
fiscalía,765,084,42.82,193
elementos,761,085,48.62,138
partir,760,086,59.51,065
ayudando,755,087,56.31,090
poder_judicial,754,088,40.2,242
adelante,750,089,60.23,064
avanzando,748,090,58.93,067
dar_conocer,748,091,58.2,075
forma,748,092,62.84,049
hacen,743,093,60.23,061
parece,739,094,60.96,057
favor,736,095,57.62,080
dónde,734,096,54.72,098
campaña,733,097,48.62,137
pueblos,731,098,52.39,110
personas,725,099,56.6,089
gobernador,721,100,42.09,205
comisión_federal,719,101,29.9,442
significa,717,102,58.78,070
saben,714,103,57.91,078
contratos,714,104,41.51,220
mismo_tiempo,713,105,57.33,084
pasa,708,106,58.64,072
economía,705,107,43.54,190
llegar,704,108,58.49,073
cierto,703,109,60.23,062
puede_ser,703,110,55.88,094
conservadores,701,111,47.61,149
empresarios,701,112,46.44,160
guardia_nacional,698,113,38.03,273
terminar,698,114,56.02,093
cuánto,697,115,48.33,143
libertad,692,116,51.52,114
efecto,691,117,58.78,069
mujeres,691,118,34.54,341
ningún,680,119,56.89,088
gran,680,120,54.72,099
confianza,676,121,49.49,131
llevando_cabo,676,122,58.64,071
mucha,673,123,57.91,077
modo,669,124,57.47,083
electricidad,662,125,30.48,420
mayoría,661,126,51.09,116
hospitales,659,127,38.46,269
resolver,652,128,52.69,108
momento,649,129,54.86,095
seguro,648,130,51.81,113
fondo,646,131,49.93,129
extranjero,637,132,50.51,123
dejar,636,133,57.18,085
fin,633,134,49.49,133
vacunas,627,135,22.21,739
humanos,626,136,41.8,213
maestros,625,137,34.98,329
atendiendo,623,138,50.22,126
servidores_públicos,617,139,50.65,121
grupo,615,140,45.57,169
pregunta,614,141,49.78,130
vacuna,614,142,22.06,750
gobierno_estados,611,143,36.87,290
relación,610,144,47.02,156
cuidar,604,145,50.36,124
autoridades,603,146,44.41,185
puedan,600,147,52.98,105
hacemos,599,148,53.85,101
necesitamos,597,149,47.02,155
